A,3479
B,1084
C,2728
D,1167
E,1137
F,243
G,751
H,1183
I,399
J,93
K,252
L,1161
M,1896
N,921
O,921
P,3001
Q,46
R,533
S,1986
T,1558
U,164
V,203
W,101
X,189
Y,53
Z,235
Ё,2
А,1293
Б,1764
В,552
Г,1050
Д,806
Е,105
Ж,658
З,669
И,369
Й,4
К,2422
Л,735
М,1358
Н,497
О,840
П,1868
Р,610
С,2146
Т,1055
У,282
Ф,201
Х,298
Ц,241
Ч,730
Ш,291
Щ,161
Э,235
Ю,149
Я,225
